company_id,trades,pnl_sum,pnl_mean,pnl_std
334,7,-4238.0825782754555,-605.440368325065,1492.7205916216024
335,30,-620.3420002621929,-20.67806667540643,81.25813829464953
336,4,-4906.373620727343,-1226.5934051818358,4755.356672607808
337,2,-134.4592100058075,-67.22960500290375,123.38746755030071
338,26,-26809.7278460792,-1031.143378695354,3035.607969213072
339,1,-88.27298286923227,-88.27298286923227,
340,4,-1309.3592390738945,-327.33980976847363,1576.2781517059152
341,19,-25394.225166678018,-1336.538166667264,3017.4480318748324
342,20,-5352.230901423109,-267.61154507115543,1424.2422657984212
343,6,-816.4663746031009,-136.07772910051682,274.852109698851
345,34,-97433.78810078395,-2865.699650023057,7536.989098422205
347,8,-10846.917218745193,-1355.8646523431491,2675.2684245852456
348,23,-1432.0378457560398,-62.2625150328713,188.10750630514016
349,27,-1036.4323647433152,-38.386383879382045,113.26574164320009
350,10,-971.6983029983951,-97.1698302998395,273.9491920566418
351,18,-1229.7883648796508,-68.32157582664726,220.62596235808056
352,1,-44.13649143461613,-44.13649143461613,
353,6,-1357.877063379558,-226.312843896593,360.5851692169079
357,2,-5337.075135782028,-2668.537567891014,7045.311608735416
358,6,-31.857512900122106,-5.309585483353684,106.47821828505946
359,4,-1567.3644017444344,-391.8411004361086,794.4170873157249
360,21,-423.5476113233944,-20.16893387254259,52.24593760866359
363,2,-46.18622713657524,-23.09311356828762,60.969042767902636
366,17,-1000.4311826951762,-58.84889309971624,244.6100071285762
367,9,-2227.259186635659,-247.47324295951765,425.7664335091376
368,6,-540.8867799105006,-90.14779665175011,234.25956815730873
369,2,300.4521934188697,150.22609670943484,243.66099578005398
370,7,-715.5846466283389,-102.22637808976269,178.6525612552384
372,9,-2555.9471837929573,-283.9941315325508,516.6458412809556
373,31,-1956.2672885542795,-63.10539640497676,205.98425634476493
374,1,-3052.7739908942826,-3052.7739908942826,
376,1,-44.13649143461613,-44.13649143461613,
377,10,-1237.4468129688667,-123.74468129688667,641.785714581367
378,29,-649.226571365974,-22.387123150550828,94.28983154828106
379,19,-941.6105076601002,-49.55844777158422,280.85887060698576
380,14,-3101.0304361073195,-221.50217400766567,852.714403295353
382,4,-583.390838094995,-145.84770952374876,184.10795859549376
383,3,-596.4565989006509,-198.81886630021697,434.67061724291096
384,7,-1286.433350267518,-183.77619289535974,525.1033302552372
385,1,-110.34122858654034,-110.34122858654034,
386,14,-653.0729092155276,-46.648064943966254,99.0283235880804
387,2,-156.52745572311557,-78.26372786155778,138.99207374590023
388,3,-2031.4473363220056,-677.1491121073352,1474.2226011660075
389,2,23.290048037754644,11.645024018877322,203.723825248851
390,2,-99.04529094493347,-49.522645472466735,117.21967747543725
391,5,-45.70675084768877,-9.141350169537754,241.96932631146404
392,5,-633.3396265444649,-126.66792530889298,261.9647726628889
395,21,-2159.989544156381,-102.85664495982766,334.6148095536501
396,24,-523.3055971149361,-21.804399879789003,43.09098077512242
397,10,-760.3761078558532,-76.03761078558531,280.9948709751701
398,7,-38174.05156701965,-5453.435938145664,9803.045129599326
399,3,-28.645846874583327,-9.548615624861108,58.925321887802774
400,7,-115.52258511217342,-16.5032264445962,47.76947876809694
402,17,-290.1408195387062,-17.0671070316886,85.66599616688171
403,31,-19701.06847195532,-635.5183378050103,3377.2793602297133
405,29,-580.8723279291875,-20.030080273420257,75.50712885673917
406,2,-50.28569854049345,-25.142849270246725,120.48870352130982
407,1,-1103.4122858654034,-1103.4122858654034,
